datetime,following,posts,followers,avgl,avgc
2018-03-24 09:30:06,202,381,177613,22285.333333333332,202.75
2018-03-24 09:45:05,202,381,177697,22415.25,203.58333333333334
2018-03-24 10:00:06,202,381,177781,22536.333333333332,204.41666666666666
2018-03-24 10:15:06,202,381,177877,22652.416666666668,205.16666666666666
2018-03-24 10:30:06,202,381,177984,22752.916666666668,205.66666666666666
2018-03-24 10:45:05,202,381,178093,22851.25,206.33333333333334
2018-03-24 11:00:07,202,381,178180,22939.0,206.58333333333334
2018-03-24 11:15:06,202,381,178278,23023.0,206.66666666666666
2018-03-24 11:30:07,202,381,178373,23093.0,206.91666666666666
2018-03-24 11:45:06,202,381,178486,23163.833333333332,207.41666666666666
2018-03-24 12:00:05,202,381,178585,23229.25,207.83333333333334
2018-03-24 12:15:05,202,381,178674,23290.666666666668,208.41666666666666
2018-03-24 12:30:05,202,381,178766,23346.5,208.66666666666666
2018-03-24 12:45:06,202,381,178851,23402.833333333332,208.83333333333334
2018-03-24 13:00:05,202,381,178912,23447.083333333332,209.0
2018-03-24 13:15:05,202,381,178988,23491.583333333332,209.16666666666666
2018-03-24 13:30:06,202,381,179059,23535.833333333332,209.33333333333334
2018-03-24 13:45:06,202,381,179127,23569.25,209.66666666666666
2018-03-24 14:00:06,202,381,179193,23600.666666666668,210.08333333333334
2018-03-24 14:15:07,202,381,179259,23631.833333333332,210.16666666666666
2018-03-24 14:30:06,202,381,179308,23657.333333333332,210.16666666666666
2018-03-24 14:45:08,202,381,179359,23682.583333333332,210.41666666666666
2018-03-24 15:00:05,202,381,179410,23709.333333333332,210.41666666666666
2018-03-24 15:15:05,202,381,179472,23730.916666666668,210.75
2018-03-24 15:30:06,202,381,179519,23756.0,210.91666666666666
2018-03-24 15:45:06,202,381,179571,23780.0,211.0
2018-03-24 16:00:07,202,381,179629,23799.75,211.16666666666666
2018-03-24 16:15:06,202,381,179676,23820.833333333332,211.41666666666666
2018-03-24 16:30:06,202,381,179731,23837.333333333332,211.66666666666666
2018-03-24 16:45:06,202,381,179784,23856.25,211.83333333333334
2018-03-24 17:00:06,202,381,179825,23875.333333333332,212.0
2018-03-24 17:15:07,202,381,179874,23891.916666666668,212.33333333333334
2018-03-24 17:30:06,202,381,179904,23911.416666666668,212.33333333333334
2018-03-24 17:45:06,202,381,179935,23931.916666666668,212.58333333333334
2018-03-24 18:00:06,202,381,179966,23946.666666666668,212.66666666666666
2018-03-24 18:15:06,202,381,180015,23962.416666666668,212.75
2018-03-24 18:30:06,202,381,180073,23976.0,212.91666666666666
2018-03-24 18:45:05,202,381,180117,23992.833333333332,212.91666666666666
2018-03-24 19:00:06,202,381,180167,24007.583333333332,212.83333333333334
2018-03-24 19:15:05,202,381,180224,24025.666666666668,213.16666666666666
2018-03-24 19:30:05,202,381,180270,24040.0,213.16666666666666
2018-03-24 19:45:07,202,381,180330,24059.25,213.08333333333334
2018-03-24 20:00:06,202,381,180395,24076.583333333332,213.16666666666666
2018-03-24 20:15:06,202,381,180447,24093.0,213.25
2018-03-24 20:30:06,202,381,180500,24106.083333333332,213.25
2018-03-24 20:45:06,202,381,180549,24120.333333333332,213.41666666666666
2018-03-24 21:00:07,202,381,180598,24136.083333333332,213.58333333333334
2018-03-24 21:15:05,202,381,180665,24151.666666666668,213.66666666666666
2018-03-24 21:30:05,202,381,180709,24165.083333333332,214.0
2018-03-24 21:45:05,202,381,180751,24178.583333333332,214.0
2018-03-24 22:00:06,202,381,180791,24192.666666666668,214.25
2018-03-24 22:15:05,202,381,180835,24207.75,214.41666666666666
2018-03-24 22:30:06,202,381,180866,24218.75,214.58333333333334
2018-03-24 22:45:08,202,381,180899,24231.166666666668,214.41666666666666
2018-03-24 23:00:06,202,381,180942,24241.75,214.58333333333334
2018-03-24 23:15:06,202,381,180986,24252.75,214.58333333333334
2018-03-24 23:30:06,202,381,181025,24263.666666666668,214.58333333333334
2018-03-24 23:45:06,202,381,181057,24271.833333333332,214.58333333333334
2018-03-25 00:00:07,202,381,181071,24277.916666666668,214.66666666666666
2018-03-25 00:15:06,202,381,181087,24285.916666666668,214.66666666666666
